nama_produk,harga_normal,harga_diskon,gambar,deskripsi
(Not So) Perfect MOM,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_5323e_e16e7211-a89f-44f5-80aa-81e9d543c420_480x480.jpg?v=1484543286,"
Detail Ukuran

 Lebar : 15
Panjang : 22

"
Anting Bulu Pink,49.000,39200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_5293_480x480.jpg?v=1591600834,"
Anting Dengan Bahan Bulu Asli sangat cocok di pakai saat ke pesta..tinggal padukan dengan long dres 
 Bahan : Bulu Asli
"
Anting Naumi Ungu,49.000,39200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_5307_480x480.jpg?v=1591600526,"
Anting Dengan Bahan Bulu Asli sangat cocok di pakai saat ke pesta..tinggal padukan dengan long dres 
 Bahan : Bulu Asli
"
Belt Tika Hijau,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0288_480x480.JPG?v=1485424426,"
Detail Bahan Dan Ukuran 

Bahan : Kulit Imitasi 
Banjang Belt : 105 

"
Belt Tika Merah,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1895_480x480.JPG?v=1485423323,"
Detail Bahan Dan Ukuran 

Bahan : Kulit Mitasi 
Banjang Belt : 105

"
Belt Tika Orange,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0294_480x480.JPG?v=1485424315,"
Detail Bahan Dan Ukuran 

Bahan : Kulit Imitasi 
Banjang Belt : 105 

"
Belt Tika Pink,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1900_480x480.JPG?v=1485423503,"
Detail Bahan Dan Ukuran 

Bahan : Kulit Mitasi 
Banjang Belt : 105

"
Blazer Anneke Salem,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_2989_1024x1024_cd4e3e9f-86ee-4780-8db0-db7af7bcb0c8_480x480.jpg?v=1536742822,"
Detail Bahan dan Ukuran :

Bahan : Katun
Lingkar Dada : 103 cm
Panjang Lengan : 46 cm
Lingkar Lengan : 46 cm
Panjang Blazer : 62 cm

"
Blazer Hetary Pink,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0226_pink_480x480.jpg?v=1485251313,"
Detail Bahan dan Ukuran :

Bahan : Wedges
Lingkar Dada : 90 cm
Panjang Lengan : 43 cm
Panjang Blazer : 50 cm

"
Blazer Lasminda Merah,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_2865all_480x480.jpg?v=1484120367,"
Detail Bahan dan Ukuran :

Bahan : Katun Spandek
Lingkar Dada : 95 cm
Panjang Lengan : 38 cm
Lingkar Lengan : 52 cm
Panjang Blazer : 56 cm

"
Blazer Lasminda Pink,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_3398_1024x1024_ec2e7a20-91e8-4538-bfe4-54717ba91440_480x480.jpg?v=1487676795,"
Detail Bahan dan Ukuran :

Bahan : Katun Spandek
Lingkar Dada : 95 cm
Panjang Lengan : 38 cm
Lingkar Lengan : 52 cm
Panjang Blazer : 56 cm

"
Blazer Munoz Pink,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1797_480x480.jpg?v=1484118407,"
Detail Bahan dan Ukuran :

Bahan : Katun
Lingkar Dada : 94 cm
Panjang Lengan : 54 cm
Panjang Blazer : 48 cm

"
