nama_produk,harga_normal,harga_diskon,gambar,deskripsi
Blus Amanda Peach,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_5718_480x480.jpg?v=1539693100,"
Detail Bahan Dan Ukuran :

bahan : sifon
Lingkar Dada : 99 cm 
Panjang Lengan : 58 Cm 
Panjang :65 Cm 

"
Blus Arenia Kuning,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_2371_1024x1024_27c2af98-01d4-46b5-9c6c-cbe664eb9f7e_480x480.jpg?v=1487590860,"
Detail Bahan dan Ukuran :

Bahan : Jersey
Lingkar Dada : 104 cm
Panjang Lengan : 64 cm
Lingkar Lengan : 40 cm
Panjang Blus : 67 cm

"
Blus Armila Ungu,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_3921_480x480.jpg?v=1500457339,"
Detail Bahan Dan Ukuran 

lingkar dada : 102cm 
panjang lengan :54 cm
lingkar lengan :40 cm 
panjang depan :60 cm 
panjang belakang : 107 cm 

"
Blus Chika Pink,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0932_480x480.jpg?v=1484641437,"
Detail Bahan Dan Ukuran :

Bahan : Spandek 
Lingkar Dada : 101 cm
Panjang Lengan : 56 cm 
Panjang Baju : 77 cm 
Lebar Pinggang :104 cm 

"
Blus Chika Ungu,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0958_149fc580-4abc-4cb4-bbab-0813f549bd29_480x480.jpg?v=1484641607,"
Detail Bahan Dan  Ukuran :

Bahan : Spandek 
Lingkar Dada : 101 cm
Panjang Lengan : 56 cm 
Panjang Baju : 77 cm 
Lebar Pinggang :104 cm 

"
Blus Elma Hitam,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1045__6_480x480.jpg?v=1485517001,"
Detail Bahan dan Ukuran :

Bahan : Katun
Lingkar Dada : 100 cm
Panjang Lengan : 53 cm
Panjang Blus : 65 cm

 
"
Blus Elma Pink,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1028__5_480x480.jpg?v=1485517032,"
Detail Bahan dan Ukuran :

Bahan : Katun
Lingkar Dada : 100 cm
Panjang Lengan : 53 cm
Panjang Blus : 65 cm

"
Blus Faola  Merah,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1190_-_Copy_480x480.jpg?v=1497272853,"
Detail Bahan Dan Ukuran :

Bahan Jersey 
Lingkar Dada :101
Panjang Lengan : 46 cm 
Panjang Dres : 93 cm 

"
Blus Helena Navy,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_3369_1024x1024_3db5329c-f0d0-416a-8a44-13fe9c7f0375_480x480.jpg?v=1487590099,"
Detail Bahan dan Ukuran : 

Bahan : Sifon (Inner Inside)
Lingkar Dada : 113 cm
Panjang Lengan : 57 cm
Lingkar Lengan : 45 cm
Panjang Blus : 69 cm

"
Blus Livia Merah,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0505_1024x1024_96c34da1-504d-41ca-bff9-f0bab7a7ca2b_480x480.jpg?v=1487584685,"
Detail Bahan Dan Ukuran 

Bahan : Jersey 
Lingkar Dada : 104 cm
Panjang Baju : 60 cm
Panjang Lengan : 54 cm

"
Blus Miche Peach,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0863_480x480.jpg?v=1484642327,"
Detail Bahan Dan  Ukuran :

Bahan : Spandek 
Lingkar Dada : 101 cm 
Panjang Lengan : 56 cm 
Panjang Baju : 77 cm 
Lebar Pinggang : 104

"
Blus Saffiyah Biru,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1590_541c2fc9-81aa-4299-b01f-69d7036a6657_480x480.jpg?v=1484133794,"
blus idengan motif 2 warna...dengan lengan panjang bisa juga di pakai untuk jiba.. tinggal padukan dengan celana jeans atau legging..
Detail Bahan Dan Ukuran 

Bahan : Spandek
Lingkar Dada : 101 cm
Panjang Lengan : 51 cm
Panjang Baju :61 cm 

"
Blus Sarilla Hitam,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_3824_1024x1024_af970137-01c2-42d0-947a-b8b17215bbda_480x480.jpg?v=1487590321,"
Detail Bahan dan Ukuran : 

Bahan : Sifon
Lingkar Dada : 104 cm
Panjang Lengan : 30 cm
Lingkar Lengan : 47 cm
Panjang Blus : 56 cm

"
Blus Savira Putih,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0203_480x480.jpg?v=1484127226,"
Detail Bahan dan Ukuran :

Bahan : Tissue
Lingkar Dada : 108cm
Panjang Lengan :57 cm 
Panjang Blus : 104cm 

"
Cardigan Bianca Hitam,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_3338_480x480.jpg?v=1485335828,"
Detail Bahan dan Ukuran :

Bahan : Katun Tissue
Lingkar Dada : 95 cm
Panjang Lengan : 59 cm
Panjang Cardigan : 81 cm

 
"
Celana Alina Hijau,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0625_480x480.jpg?v=1484127109,"
Celana yang nyaman di pakai dengan bahan rayon dan adem i pakai sangat cocok di pakai ke kantor untuk lebih bergaya tinggal padukan dengan heels 
Detail Bahan dan Ukuran :

Bahan : Katun Rayon
Lingkar Pinggang : 89 cm
Lingkar Pinggul : 102 cm
Panjang Celana : 89 cm

"
Celana Dekha Merah,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0063_2703bbbd-54bb-4fbc-9b63-544b0bee5e82_480x480.jpg?v=1484128691,"
celana Dekha dengan bahan weges yang sangat nyaman di pakai saat ke kantor..untuk lebih bergaya tinggal padukan dengan heels.
 
Detail Bahan dan Ukuran :

Bahan : Wedges
Lingkar Pinggang : 94 cm
Lingkar Pinggul : 104 cm
Panjang Celana : 94 cm

"
Dress Avira Biru,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0337_480x480_a8b147e0-ad42-4fb8-aaf0-2146b85d6d11_480x480.jpg?v=1497266776,"
Dres ini sangat cocok di pakai saat santai ..bisa juga di pakai dres dan bisa juga di pakai untuk hijab ..
Detail Bahan dan Ukuran :

Bahan : Viscose
Lingkar Dada : 110 cm
Lingkar Lengan : 44 cm
Panjang Lengan : 57 cm
Lingkar Pinggang : 99 cm
Panjang Dress : 107 cm

"
Dress Barbra Coklat,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0790_480x480.jpg?v=1484133018,"
Dress panjang yang cocok buat hijabers, dengan bahan yang nyaman di pakai. Padukan dengan heels dan clutch yang cantik maka penampilan kamu jadi lebih gaya lagi.
Detail Bahan dan Ukuran :

Bahan : Kaos
Lingkar Dada : 99 cm
Panjang Lengan : 56 cm
Panjang Dress : 133 cm

"
