,name,rating_star,price,price_before_discount,description
0,Best Wok Mi Goreng Original Multipack 425 gr + Best Wok Mi Goreng Hot & Spicy Multipack 400 gr,5.0,29500.0,35200.0,"Paket ini berisi 1x Best Wok Mi Goreng Original Multipack 425 gr & 1x Best Wok Mi Goreng Hot & Spicy Multipack 400 gr  

Best Wok Mi Goreng Original hadir dengan kelezatan aneka rempah dan bahan pilihan yang diracik sepenuh hati, membuat aroma dan citarasa mi instan yang nikmat dan khas nusantara. Hadir dengan edisi khusus export isi 5 bungkus.  

BPOM RI MD. 231513058032 Shelf Life: 9 Bulan  

Best Wok Mi Goreng Hot & Spicy hadir dengan kelezatan aneka rempah dan bahan pilihan yang diracik sepenuh hati, dilengkapi dengan perpaduan 3 macam cabai yang pedasnya nendang ! Hadir dengan edisi khusus export isi 5 bungkus.   
BPOM RI MD. 231513060032 Shelf Life: 9 Bulan"
1,Indomie Goreng 85gr,4.916466,2900.0,3000.0,Indomie Goreng 85gr merupakan mie instan tanpa kuah. Perpaduan antara mi dan bumbu otentik makanan khas Indonesia menjadikan Indomie goreng makanan yang sangat spesial apalagi bila disajikan dikala cuaca dingin atau hujan.
2,Tawon Minyak Goreng Refill 2L,4.926207,26300.0,27000.0,Minyak Goreng Tawon Refill 2L merupakan minyak goreng yang terbuat dari kelapa sawit pilihan dan di proses dengan teknologi modren sehingga memberikan kualitas minyak goreng yang jernih dan aman untuk di konsumsi keluarga anda.
3,Gulaku Pillow Pack Premium 200gr,4.89547,3600.0,3700.0,"Gulaku Pillow Pack Premium 200gr merupakan gula murni yang terbuat dari gula tebu asli pilihan. Diproses secara higienis yang telah memenuhi standar mutu, sehingga dapat menghasilkan gula yang manis, alami, murni dan bersih.

GULAKU Pouch 750 gr merupakan gula murni yang terbuat dari gula tebu asli pilihan. Diproses secara higienis yang telah memenuhi standar mutu, sehingga dapat menghasilkan gula yang manis, alami, murni dan bersih. Dikemas khusus dalam kemasan pouch dengan bertutup ulir, sehingga higienis, mudah dituang dan tidak mudah tumpah. Gula ini dapat Anda gunakan untuk minum teh, kopi, atau lainnya. 

Detail:
- Gula
- Terbuat dari Gula tebu alami 
- Proses hiegienis
- Dikemas khusus dalam kemasan pouch 
- Isi 750 gr"
4,DayMan Razor Twin Blade (With Lubricant/Pelicin) isi 3 pcs,4.964286,8500.0,18000.0,"Mengadopsi metode micro mengasah baru, yang lebih baik dari metode yang ada sekarang. Pisau cukur memiliki ujung berbentuk gigi untuk memberi kenyamanan bercukur dan tahan lebih lama. Dengan 2 pisau cukur, lebih mudah mencukur dengan sempurna hanya satu ayunan. Pisau pertama memotong rambut yang lebih panjang dan pisau kedua mencukur sisanya."
5,Mawar Jaya Gula Pasir Lokal 1kg,4.887029,14300.0,14400.0,Mawar Jaya Gula Pasir Lokal 1kg mengandung karbohidrat sederhana karena dapat larut dalam air dan langsung diserap tubuh untuk diubah menjadi energi. Gula ini umumnya dihasilkan dari tebu.
6,Si Pulen Long Grain Crystal 5 KG,4.840756,75600.0,76600.0,"Beras Crystal Long Grain SIPULEN dihasilkan dari padi/beras pilihan para ahli kami yang berpengalaman serta diproses secara modern dan higienis. Beras Crystal Long Grain SIPULEN merupakan jaminan kualitas terbaik dengan aromanya yang harus, pulen dan bercita rasa asli. Beras Crystal Long Grain SIPULEN pasti cocok untuk segala hidangan keluarga anda. Shelf life 12 bulan. BPOM MD 263009001352"
7,Mila Med Tepung Protein 1kg,4.91517,10100.0,13100.0,"Tepung Mila Med Protein 1kg merupakan tepung serbaguna untuk aneka macam makanan, terutama sangat cocok digunakan untuk membuat kue manis dan cake. BPOM Number : MD 228813042048"
8,Hatari Cream Crackers 260gr,4.928708,5700.0,5800.0,Hatari Cream Crackers 260gr merupakan cemilan biskuit dengan varian rasa krim yang nikmat. Sangat cocok dinikmati saat santai bersama keluarga dan teman bersama kopi atau susu panas.
9,Haribo Goldbears 80gr,4.920705,14500.0,16200.0,Goldbears 80gr merupakan permen jelly dengan bentuk unik dan menarik yang sangat lezat. Permen jelly ini diproduksi tanpa memakai pewarna buatan.
